actors,country,director,genre,movie_url,rank,rating_people,subject,title,year
蒂姆·罗宾斯 Tim Robbins /...,美国,弗兰克·德拉邦特 Frank Darabont,美国,https://movie.douban.com/subject/1292052/,9.7,,希望让人自由。,肖申克的救赎,1994
张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,中国大陆 中国香港,陈凯歌 Kaige Chen,中国大陆 中国香港,https://movie.douban.com/subject/1291546/,9.6,,风华绝代。,霸王别姬,1993
莱昂纳多·迪卡普里奥 Leonardo...,美国 墨西哥,詹姆斯·卡梅隆 James Cameron,美国 墨西哥,https://movie.douban.com/subject/1292722/,9.5,,失去的才是永恒的。 ,泰坦尼克号,1997
汤姆·汉克斯 Tom Hanks / ...,美国,罗伯特·泽米吉斯 Robert Zemeckis,美国,https://movie.douban.com/subject/1292720/,9.5,,一部美国近现代史。,阿甘正传,1994
柊瑠美 Rumi Hîragi / 入野自由 Miy...,日本,宫崎骏 Hayao Miyazaki,日本,https://movie.douban.com/subject/1291561/,9.4,,最好的宫崎骏，最好的久石让。 ,千与千寻,2001
罗伯托·贝尼尼 Roberto Beni...,意大利,罗伯托·贝尼尼 Roberto Benigni,意大利,https://movie.douban.com/subject/1292063/,9.5,,最美的谎言。,美丽人生,1997
让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,法国 美国,吕克·贝松 Luc Besson,法国 美国,https://movie.douban.com/subject/1295644/,9.4,,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,1994
马修·麦康纳 Matthew Mc...,美国 英国 加拿大,克里斯托弗·诺兰 Christopher Nolan,美国 英国 加拿大,https://movie.douban.com/subject/1889243/,9.4,,爱是一种力量，让我们超越时空感知它的存在。,星际穿越,2014
莱昂纳多·迪卡普里奥 Le...,美国 英国,克里斯托弗·诺兰 Christopher Nolan,美国 英国,https://movie.douban.com/subject/3541415/,9.4,,诺兰给了我们一场无法盗取的梦。,盗梦空间,2010
金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,美国,彼得·威尔 Peter Weir,美国,https://movie.douban.com/subject/1292064/,9.4,,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,1998
连姆·尼森 Liam Neeson...,美国,史蒂文·斯皮尔伯格 Steven Spielberg,美国,https://movie.douban.com/subject/1295124/,9.5,,拯救一个人，就是拯救整个世界。,辛德勒的名单,1993
理查·基尔 Richard Ger...,美国 英国,莱塞·霍尔斯道姆 Lasse Hallström,美国 英国,https://movie.douban.com/subject/3011091/,9.4,,永远都不能忘记你所爱的人。,忠犬八公的故事,2009
蒂姆·罗斯 Tim Roth / ...,意大利,朱塞佩·托纳多雷 Giuseppe Tornatore,意大利,https://movie.douban.com/subject/1292001/,9.3,,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师,1998
阿米尔·汗 Aamir Khan / 卡...,印度,拉库马·希拉尼 Rajkumar Hirani,印度,https://movie.douban.com/subject/3793023/,9.2,,英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,2009
金妮弗·...,美国,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,美国,https://movie.douban.com/subject/25662329/,9.2,,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城,2016
让-巴蒂斯特·莫尼...,法国 瑞士 德国,克里斯托夫·巴拉蒂 Christophe Barratier,法国 瑞士 德国,https://movie.douban.com/subject/1291549/,9.3,,天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,2004
本·贝尔特 Ben Burtt / 艾丽...,美国,安德鲁·斯坦顿 Andrew Stanton,美国,https://movie.douban.com/subject/2131459/,9.3,,小瓦力，大人生。,机器人总动员,2008
